 time     v(/vam)  v(/iam)  v(/vdc)  v(/idc)  v(/vexp) v(/iexp) v(/vpulse) v(/ipulse) v(/vpwl) v(/ipwl) v(/vsffm) v(/isffm) v(/vsin) v(/isin)
 1.2e-07 -1.4e-01  1.4e+03  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  1.3e-01 -1.3e+03 -4.7e+00  4.7e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.2e-07 -3.2e-14  2.9e-10  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  2.0e-01 -2.0e+03 -4.8e+00  4.8e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.2e-07  1.6e-01 -1.6e+03  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  2.7e-01 -2.7e+03 -4.8e+00  4.8e+04 -5.7e+00  5.7e+04  0.0e+00  0.0e+00 
 1.2e-07  3.3e-01 -3.3e+03  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  3.3e-01 -3.3e+03 -4.8e+00  4.8e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 1.2e-07  4.8e-01 -4.8e+03  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  4.0e-01 -4.0e+03 -4.9e+00  4.9e+04 -4.5e+00  4.5e+04  0.0e+00  0.0e+00 
 1.2e-07  5.9e-01 -5.9e+03  2.3e+00 -2.3e+04 -3.4e+00  3.4e+04  4.7e-01 -4.7e+03 -4.9e+00  4.9e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 1.2e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  5.3e-01 -5.3e+03 -4.9e+00  4.9e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.3e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  6.0e-01 -6.0e+03 -5.0e+00  5.0e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 1.3e-07  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  6.7e-01 -6.7e+03 -5.0e+00  5.0e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 1.3e-07  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  7.3e-01 -7.3e+03 -5.0e+00  5.0e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 1.3e-07  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  8.0e-01 -8.0e+03 -5.1e+00  5.1e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 1.3e-07  6.4e-14 -7.0e-10  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  8.7e-01 -8.7e+03 -5.1e+00  5.1e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.3e-07 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  9.3e-01 -9.3e+03 -5.1e+00  5.1e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.3e-07 -5.0e-01  5.0e+03  2.3e+00 -2.3e+04 -3.5e+00  3.5e+04  1.0e+00 -1.0e+04 -5.2e+00  5.2e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 1.3e-07 -7.0e-01  7.0e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.2e+00  5.2e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 1.3e-07 -8.4e-01  8.4e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.3e+00  5.3e+04 -4.6e+00  4.6e+04  0.0e+00  0.0e+00 
 1.3e-07 -9.0e-01  9.0e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.3e+00  5.3e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.4e-07 -8.8e-01  8.8e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.3e+00  5.3e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.4e-07 -7.6e-01  7.6e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.4e+00  5.4e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.4e-07 -5.6e-01  5.6e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.4e+00  5.4e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.4e-07 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.4e+00  5.4e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 1.4e-07 -9.9e-14  8.1e-10  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.5e+00  5.5e+04 -4.8e+00  4.8e+04  0.0e+00  0.0e+00 
 1.4e-07  3.0e-01 -3.0e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.5e+00  5.5e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 1.4e-07  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -3.6e+00  3.6e+04  1.0e+00 -1.0e+04 -5.5e+00  5.5e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 1.4e-07  8.1e-01 -8.1e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.6e+00  5.6e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.4e-07  9.5e-01 -9.5e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.6e+00  5.6e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 1.4e-07  1.0e+00 -1.0e+04  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.6e+00  5.6e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.5e-07  9.5e-01 -9.5e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.7e+00  5.7e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.5e-07  8.1e-01 -8.1e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.7e+00  5.7e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.5e-07  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.7e+00  5.7e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 1.5e-07  3.0e-01 -3.0e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.8e+00  5.8e+04 -5.3e+00  5.3e+04  0.0e+00  0.0e+00 
 1.5e-07  1.1e-13 -1.0e-09  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.8e+00  5.8e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 1.5e-07 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.8e+00  5.8e+04 -4.7e+00  4.7e+04  0.0e+00  0.0e+00 
 1.5e-07 -5.6e-01  5.6e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.9e+00  5.9e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 1.5e-07 -7.6e-01  7.6e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.9e+00  5.9e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.5e-07 -8.8e-01  8.8e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -5.9e+00  5.9e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.5e-07 -9.0e-01  9.0e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -6.0e+00  6.0e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.6e-07 -8.4e-01  8.4e+03  2.3e+00 -2.3e+04 -3.7e+00  3.7e+04  1.0e+00 -1.0e+04 -6.0e+00  6.0e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 1.6e-07 -7.0e-01  7.0e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.0e+00  6.0e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.6e-07 -5.0e-01  5.0e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.1e+00  6.1e+04 -4.5e+00  4.5e+04  0.0e+00  0.0e+00 
 1.6e-07 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.1e+00  6.1e+04 -4.8e+00  4.8e+04  0.0e+00  0.0e+00 
 1.6e-07 -9.9e-14  9.9e-10  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.1e+00  6.1e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 1.6e-07  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.2e+00  6.2e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 1.6e-07  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.2e+00  6.2e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.6e-07  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.2e+00  6.2e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.6e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.3e+00  6.3e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.6e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.3e+00  6.3e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.7e-07  5.9e-01 -5.9e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.3e+00  6.3e+04 -5.4e+00  5.4e+04  0.0e+00  0.0e+00 
 1.7e-07  4.8e-01 -4.8e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.4e+00  6.4e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 1.7e-07  3.3e-01 -3.3e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.4e+00  6.4e+04 -4.5e+00  4.5e+04  0.0e+00  0.0e+00 
 1.7e-07  1.6e-01 -1.6e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.4e+00  6.4e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.7e-07  6.8e-14 -7.0e-10  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.7e-07 -1.4e-01  1.4e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 1.7e-07 -2.6e-01  2.6e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.5e+00  4.5e+04  0.0e+00  0.0e+00 
 1.7e-07 -3.3e-01  3.3e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 1.7e-07 -3.6e-01  3.6e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 1.7e-07 -3.5e-01  3.5e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.8e-07 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 1.8e-07 -2.3e-01  2.3e+03  2.3e+00 -2.3e+04 -3.8e+00  3.8e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 1.8e-07 -1.5e-01  1.5e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 1.8e-07 -7.2e-02  7.2e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.3e+00  4.3e+04  0.0e+00  0.0e+00 
 1.8e-07 -3.0e-14  3.1e-10  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.8e-07  5.6e-02 -5.6e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 1.8e-07  9.3e-02 -9.3e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 1.8e-07  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  4.5e-13 -4.9e-09 -6.5e+00  6.5e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 1.8e-07  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 1.8e-07  9.5e-02 -9.5e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 1.9e-07  7.4e-02 -7.4e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 1.9e-07  5.0e-02 -5.0e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.3e+00  4.3e+04  0.0e+00  0.0e+00 
 1.9e-07  2.8e-02 -2.8e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 1.9e-07  1.1e-02 -1.1e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 1.9e-07  3.8e-15 -4.0e-11  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 1.9e-07 -4.9e-03  4.9e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 1.9e-07 -5.2e-03  5.2e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 1.9e-07 -3.2e-03  3.2e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.2e+00  5.2e+04  0.0e+00  0.0e+00 
 1.9e-07 -9.4e-04  9.4e+00  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 1.9e-07 -1.1e-16  1.2e-12  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.0e-07 -9.4e-04  9.4e+00  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 2.0e-07 -3.2e-03  3.2e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.3e+00  5.3e+04  0.0e+00  0.0e+00 
 2.0e-07 -5.2e-03  5.2e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 2.0e-07 -4.9e-03  4.9e+01  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 2.0e-07 -4.2e-15  4.0e-11  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 2.0e-07  1.1e-02 -1.1e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 2.0e-07  2.8e-02 -2.8e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.0e+00  1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.0e-07  5.0e-02 -5.0e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -9.3e-01  9.3e+03 -6.5e+00  6.5e+04 -4.7e+00  4.7e+04  0.0e+00  0.0e+00 
 2.0e-07  7.4e-02 -7.4e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -8.7e-01  8.7e+03 -6.5e+00  6.5e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 2.0e-07  9.5e-02 -9.5e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -8.0e-01  8.0e+03 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 2.1e-07  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -7.3e-01  7.3e+03 -6.5e+00  6.5e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 2.1e-07  1.1e-01 -1.1e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -6.7e-01  6.7e+03 -6.5e+00  6.5e+04 -4.8e+00  4.8e+04  0.0e+00  0.0e+00 
 2.1e-07  9.3e-02 -9.3e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -6.0e-01  6.0e+03 -6.5e+00  6.5e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 2.1e-07  5.6e-02 -5.6e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -5.3e-01  5.3e+03 -6.5e+00  6.5e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 2.1e-07  3.9e-14 -4.1e-10  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -4.7e-01  4.7e+03 -6.5e+00  6.5e+04 -4.8e+00  4.8e+04  0.0e+00  0.0e+00 
 2.1e-07 -7.2e-02  7.2e+02  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -4.0e-01  4.0e+03 -6.5e+00  6.5e+04 -5.6e+00  5.6e+04  0.0e+00  0.0e+00 
 2.1e-07 -1.5e-01  1.5e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -3.3e-01  3.3e+03 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 2.1e-07 -2.3e-01  2.3e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -2.7e-01  2.7e+03 -6.5e+00  6.5e+04 -5.7e+00  5.7e+04  0.0e+00  0.0e+00 
 2.1e-07 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -2.0e-01  2.0e+03 -6.5e+00  6.5e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 2.1e-07 -3.5e-01  3.5e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -1.3e-01  1.3e+03 -6.5e+00  6.5e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 2.2e-07 -3.6e-01  3.6e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -6.7e-02  6.7e+02 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.2e-07 -3.3e-01  3.3e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04 -4.3e-14  4.1e-10 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 2.2e-07 -2.6e-01  2.6e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  6.7e-02 -6.7e+02 -6.5e+00  6.5e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 2.2e-07 -1.4e-01  1.4e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  1.3e-01 -1.3e+03 -6.5e+00  6.5e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 2.2e-07 -8.5e-14  9.3e-10  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  2.0e-01 -2.0e+03 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 2.2e-07  1.6e-01 -1.6e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  2.7e-01 -2.7e+03 -6.5e+00  6.5e+04 -5.7e+00  5.7e+04  0.0e+00  0.0e+00 
 2.2e-07  3.3e-01 -3.3e+03  2.3e+00 -2.3e+04 -3.9e+00  3.9e+04  3.3e-01 -3.3e+03 -6.5e+00  6.5e+04 -5.1e+00  5.1e+04  0.0e+00  0.0e+00 
 2.2e-07  4.8e-01 -4.8e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  4.0e-01 -4.0e+03 -6.5e+00  6.5e+04 -4.5e+00  4.5e+04  0.0e+00  0.0e+00 
 2.2e-07  5.9e-01 -5.9e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  4.7e-01 -4.7e+03 -6.5e+00  6.5e+04 -4.1e+00  4.1e+04  0.0e+00  0.0e+00 
 2.2e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  5.3e-01 -5.3e+03 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.3e-07  6.5e-01 -6.5e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  6.0e-01 -6.0e+03 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 2.3e-07  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  6.7e-01 -6.7e+03 -6.5e+00  6.5e+04 -4.9e+00  4.9e+04  0.0e+00  0.0e+00 
 2.3e-07  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  7.3e-01 -7.3e+03 -6.5e+00  6.5e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 2.3e-07  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  8.0e-01 -8.0e+03 -6.5e+00  6.5e+04 -5.9e+00  5.9e+04  0.0e+00  0.0e+00 
 2.3e-07  1.7e-13 -1.7e-09  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  8.7e-01 -8.7e+03 -6.5e+00  6.5e+04 -6.0e+00  6.0e+04  0.0e+00  0.0e+00 
 2.3e-07 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  9.3e-01 -9.3e+03 -6.5e+00  6.5e+04 -5.8e+00  5.8e+04  0.0e+00  0.0e+00 
 2.3e-07 -5.0e-01  5.0e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.5e+00  5.5e+04  0.0e+00  0.0e+00 
 2.3e-07 -7.0e-01  7.0e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -5.0e+00  5.0e+04  0.0e+00  0.0e+00 
 2.3e-07 -8.4e-01  8.4e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.6e+00  4.6e+04  0.0e+00  0.0e+00 
 2.3e-07 -9.0e-01  9.0e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 2.4e-07 -8.8e-01  8.8e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.4e-07 -7.6e-01  7.6e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.0e+00  4.0e+04  0.0e+00  0.0e+00 
 2.4e-07 -5.6e-01  5.6e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.2e+00  4.2e+04  0.0e+00  0.0e+00 
 2.4e-07 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.4e+00  4.4e+04  0.0e+00  0.0e+00 
 2.4e-07 -2.1e-13  2.1e-09  2.3e+00 -2.3e+04 -4.0e+00  4.0e+04  1.0e+00 -1.0e+04 -6.5e+00  6.5e+04 -4.8e+00  4.8e+04  0.0e+00  0.0e+00 
