 time     v(/vam)  v(/iam)  v(/vdc)  v(/idc)  v(/vexp) v(/iexp) v(/vpulse) v(/ipulse) v(/vpwl) v(/ipwl) v(/vsffm) v(/isffm) v(/vsin) v(/isin)
 2.7e-08  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  6.7e-01 -6.7e+03 -7.0e+00  7.0e+04 -4.9e+00  4.9e+04 -7.1e-114  7.1e-110 
 2.8e-08  4.4e-01 -4.4e+03  2.3e+00 -2.3e+04 -2.3e+00  2.3e+04  7.3e-01 -7.3e+03 -7.0e+00  7.0e+04 -5.5e+00  5.5e+04 -5.2e-118  5.2e-114 
 2.9e-08  2.4e-01 -2.4e+03  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  8.0e-01 -8.0e+03 -7.0e+00  7.0e+04 -5.9e+00  5.9e+04 -2.4e-122  2.4e-118 
 3.0e-08  2.7e-15 -2.9e-11  2.3e+00 -2.3e+04 -2.2e+00  2.2e+04  8.7e-01 -8.7e+03 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04 -6.7e-127  6.7e-123 
 3.1e-08 -2.5e-01  2.5e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  9.3e-01 -9.3e+03 -7.0e+00  7.0e+04 -5.8e+00  5.8e+04 -1.3e-144  2.1e-140 
 3.2e-08 -5.0e-01  5.0e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.5e+00  5.5e+04  1.4e-135 -1.4e-131 
 3.3e-08 -7.0e-01  7.0e+03  2.3e+00 -2.3e+04 -2.1e+00  2.1e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.0e+00  5.0e+04  1.0e-139 -1.0e-135 
 3.4e-08 -8.4e-01  8.4e+03  2.3e+00 -2.3e+04 -2.0e+00  2.0e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.6e+00  4.6e+04  4.6e-144 -4.6e-140 
 3.5e-08 -9.0e-01  9.0e+03  2.3e+00 -2.3e+04 -2.0e+00  2.0e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.2e+00  4.2e+04  1.3e-148 -1.3e-144 
 3.6e-08 -8.8e-01  8.8e+03  2.3e+00 -2.3e+04 -2.0e+00  2.0e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.0e+00  4.0e+04  0.0e+00  5.6e-163 
 3.7e-08 -7.6e-01  7.6e+03  2.3e+00 -2.3e+04 -1.9e+00  1.9e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.0e+00  4.0e+04 -2.6e-157  2.6e-153 
 3.8e-08 -5.6e-01  5.6e+03  2.3e+00 -2.3e+04 -1.9e+00  1.9e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.2e+00  4.2e+04 -1.9e-161  1.9e-157 
 3.9e-08 -3.0e-01  3.0e+03  2.3e+00 -2.3e+04 -1.9e+00  1.9e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.4e+00  4.4e+04 -8.8e-166  8.8e-162 
 4.0e-08  5.3e-15 -2.9e-11  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -4.8e+00  4.8e+04 -2.5e-170  2.5e-166 
 4.1e-08  3.0e-01 -3.0e+03  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.2e+00  5.2e+04  1.4e-188 -1.2e-184 
 4.2e-08  5.8e-01 -5.8e+03  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.5e+00  5.5e+04  5.1e-179 -5.1e-175 
 4.3e-08  8.1e-01 -8.1e+03  2.3e+00 -2.3e+04 -1.8e+00  1.8e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.8e+00  5.8e+04  3.8e-183 -3.8e-179 
 4.4e-08  9.5e-01 -9.5e+03  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -5.9e+00  5.9e+04  1.7e-187 -1.7e-183 
 4.5e-08  1.0e+00 -1.0e+04  2.3e+00 -2.3e+04 -1.7e+00  1.7e+04  1.0e+00 -1.0e+04 -7.0e+00  7.0e+04 -6.0e+00  6.0e+04  4.8e-192 -4.8e-188 
