 time     v(/out) 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.0e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.1e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.2e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.3e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.4e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.5e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.6e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.7e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.8e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 2.9e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.0e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.1e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
 3.2e-09  3.2e-02 
