 frequency v(/VIN)  v(/VIN)  v(VOUT)  v(VOUT) 
 1.8e+02  9.5e-01  2.1e-01  1.4e-01 -9.6e-01 
 1.9e+02  9.6e-01  2.0e-01  1.4e-01 -9.8e-01 
 1.9e+02  9.6e-01  2.0e-01  1.4e-01 -1.0e+00 
 1.9e+02  9.6e-01  2.0e-01  1.5e-01 -1.0e+00 
 2.0e+02  9.6e-01  1.9e-01  1.5e-01 -1.1e+00 
 2.0e+02  9.6e-01  1.9e-01  1.5e-01 -1.1e+00 
 2.1e+02  9.7e-01  1.8e-01  1.5e-01 -1.1e+00 
 2.1e+02  9.7e-01  1.8e-01  1.5e-01 -1.1e+00 
 2.2e+02  9.7e-01  1.8e-01  1.5e-01 -1.2e+00 
 2.2e+02  9.7e-01  1.7e-01  1.5e-01 -1.2e+00 
 2.3e+02  9.7e-01  1.7e-01  1.6e-01 -1.2e+00 
 2.3e+02  9.7e-01  1.6e-01  1.6e-01 -1.2e+00 
 2.4e+02  9.7e-01  1.6e-01  1.6e-01 -1.3e+00 
 2.5e+02  9.7e-01  1.6e-01  1.6e-01 -1.3e+00 
 2.5e+02  9.8e-01  1.5e-01  1.6e-01 -1.3e+00 
 2.6e+02  9.8e-01  1.5e-01  1.6e-01 -1.4e+00 
 2.6e+02  9.8e-01  1.5e-01  1.7e-01 -1.4e+00 
 2.7e+02  9.8e-01  1.4e-01  1.7e-01 -1.4e+00 
 2.8e+02  9.8e-01  1.4e-01  1.7e-01 -1.5e+00 
 2.8e+02  9.8e-01  1.4e-01  1.7e-01 -1.5e+00 
 2.9e+02  9.8e-01  1.4e-01  1.8e-01 -1.5e+00 
 3.0e+02  9.8e-01  1.3e-01  1.8e-01 -1.6e+00 
 3.0e+02  9.8e-01  1.3e-01  1.8e-01 -1.6e+00 
 3.1e+02  9.8e-01  1.3e-01  1.8e-01 -1.7e+00 
 3.2e+02  9.8e-01  1.2e-01  1.9e-01 -1.7e+00 
 3.2e+02  9.9e-01  1.2e-01  1.9e-01 -1.7e+00 
 3.3e+02  9.9e-01  1.2e-01  1.9e-01 -1.8e+00 
 3.4e+02  9.9e-01  1.2e-01  1.9e-01 -1.8e+00 
 3.5e+02  9.9e-01  1.1e-01  2.0e-01 -1.9e+00 
 3.5e+02  9.9e-01  1.1e-01  2.0e-01 -1.9e+00 
 3.6e+02  9.9e-01  1.1e-01  2.1e-01 -2.0e+00 
 3.7e+02  9.9e-01  1.1e-01  2.1e-01 -2.0e+00 
 3.8e+02  9.9e-01  1.0e-01  2.1e-01 -2.0e+00 
 3.9e+02  9.9e-01  1.0e-01  2.2e-01 -2.1e+00 
 4.0e+02  9.9e-01  9.9e-02  2.2e-01 -2.1e+00 
 4.1e+02  9.9e-01  9.7e-02  2.3e-01 -2.2e+00 
 4.2e+02  9.9e-01  9.4e-02  2.3e-01 -2.3e+00 
 4.3e+02  9.9e-01  9.2e-02  2.4e-01 -2.3e+00 
 4.4e+02  9.9e-01  9.0e-02  2.4e-01 -2.4e+00 
 4.5e+02  9.9e-01  8.8e-02  2.5e-01 -2.4e+00 
 4.6e+02  9.9e-01  8.6e-02  2.5e-01 -2.5e+00 
 4.7e+02  9.9e-01  8.4e-02  2.6e-01 -2.5e+00 
 4.8e+02  9.9e-01  8.2e-02  2.6e-01 -2.6e+00 
 4.9e+02  9.9e-01  8.1e-02  2.7e-01 -2.7e+00 
 5.0e+02  9.9e-01  7.9e-02  2.8e-01 -2.7e+00 
